"Entry"	"Entry.Name"	"Reviewed"	"Protein.names"	"Gene.Names"	"Organism"	"Length"	"Functions"
"A0A0B7P3V8"	"YP41B_YEAST"	"reviewed"	"Transposon Ty4-P Gag-Pol polyprotein (TY4A-TY4B) (Transposon Ty4 TYA-TYB polyprotein) [Includes: Capsid protein (CA); Ty4 protease (PR) (EC 3.4.23.-); Integrase (IN); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4)]"	"TY4B-P YPLCTy4-1 POL YPL060C-A"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	1104	"FUNCTION: Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends. {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome. {ECO:0000250}."
"D6VTK4"	"STE2_YEAST"	"reviewed"	"Pheromone alpha factor receptor"	"STE2 YFL026W"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	431	"FUNCTION: Fungal class D1 G-protein-coupled receptor that acts as an alpha-factor pheromone receptor performing pheromone-dependent signal transduction involved in cellular conjugation, mating projection assembly, and in cell fusion (PubMed:4595644, PubMed:6993497, PubMed:6353246, PubMed:6360378, PubMed:3023832, PubMed:3037311, PubMed:2842059, PubMed:2839507, PubMed:2556384, PubMed:9286665, PubMed:9824658, PubMed:9529386, PubMed:9742115, PubMed:9819407, PubMed:10744981, PubMed:11495900, PubMed:12427030). Following alpha-factor-binding, the signal is transmitted via a tripartite G protein consisting of alpha-, beta- and gamma-subunits (GAP1, STE4 and STE8 respectively) that prepares the cell for conjugation (PubMed:1647971, PubMed:1330324, PubMed:8385135, PubMed:8132618, PubMed:8692892, PubMed:10866688, PubMed:11287148). In the inactive state, the cytoplasmic end of transmembrane domain 7 (TMD7) is unstructured and packs between TMD1-6, blocking the G protein coupling site (PubMed:35296853). Agonist binding results in the outward movement of the extracellular ends of TMD6 and TMD7 by 6 Angstroms (PubMed:35296853). On the intracellular surface, the G protein coupling site is formed by a 20 Angstroms outward movement of the unstructured region in TMD7 that unblocks the site, and a 12 Angstroms inward movement of TMD6 (PubMed:35296853). {ECO:0000269|PubMed:10744981, ECO:0000269|PubMed:10866688, ECO:0000269|PubMed:11287148, ECO:0000269|PubMed:11495900, ECO:0000269|PubMed:12427030, ECO:0000269|PubMed:1330324, ECO:0000269|PubMed:1647971, ECO:0000269|PubMed:2556384, ECO:0000269|PubMed:2839507, ECO:0000269|PubMed:2842059, ECO:0000269|PubMed:3023832, ECO:0000269|PubMed:3037311, ECO:0000269|PubMed:35296853, ECO:0000269|PubMed:4595644, ECO:0000269|PubMed:6353246, ECO:0000269|PubMed:6360378, ECO:0000269|PubMed:6993497, ECO:0000269|PubMed:8132618, ECO:0000269|PubMed:8385135, ECO:0000269|PubMed:8692892, ECO:0000269|PubMed:9286665, ECO:0000269|PubMed:9529386, ECO:0000269|PubMed:9742115, ECO:0000269|PubMed:9819407, ECO:0000269|PubMed:9824658}."
"O13297"	"CET1_YEAST"	"reviewed"	"mRNA-capping enzyme subunit beta (EC 3.6.1.74) (mRNA 5'-phosphatase) (mRNA 5'-triphosphate monophosphatase)"	"CET1 YPL228W P1433"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	549	"FUNCTION: First step of mRNA capping. Converts the 5'-triphosphate end of a nascent mRNA chain into a diphosphate end. {ECO:0000269|PubMed:12788946, ECO:0000269|PubMed:3029058, ECO:0000269|PubMed:6094533}."
"O13329"	"FOB1_YEAST"	"reviewed"	"DNA replication fork-blocking protein FOB1"	"FOB1 HRM1 YDR110W YD9727.06"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	566	"FUNCTION: Required for replication fork blocking activity at the replication fork barrier (RFB) site in rDNA and for recombination hot-spot (HOT1) activity, regulating the recombination rate and the number of rDNA copies. Binds directly to two separated sequences in the RFB. {ECO:0000269|PubMed:14645529, ECO:0000269|PubMed:9078378, ECO:0000269|PubMed:9869636}."
"O13516"	"RS9A_YEAST"	"reviewed"	"Small ribosomal subunit protein uS4A (40S ribosomal protein S9-A) (RP21) (S13) (YP28) (YS11)"	"RPS9A RPS13A YS11A YPL081W"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	197	"FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). uS4 is involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000305|PubMed:22096102}."
"O13527"	"YA11B_YEAST"	"reviewed"	"Truncated transposon Ty1-A Gag-Pol polyprotein (TY1B) (Transposon Ty1 TYB polyprotein) [Cleaved into: Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]"	"TY1B-A YARCTy1-1 POL YAR009C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	1196	"FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}."
"O13535"	"YH11B_YEAST"	"reviewed"	"Transposon Ty1-H Gag-Pol polyprotein (Gag-Pol-p199) (TY1A-TY1B) (Transposon Ty1 TYA-TYB polyprotein) (p190) [Cleaved into: Capsid protein (CA) (Gag-p45) (p54); Ty1 protease (PR) (EC 3.4.23.-) (Pol-p20) (p23); Integrase (IN) (Pol-p71) (p84) (p90); Reverse transcriptase/ribonuclease H (RT) (RT-RH) (EC 2.7.7.49) (EC 2.7.7.7) (EC 3.1.26.4) (Pol-p63) (p60)]"	"TY1B-H YHRCTy1-1 POL YHR214C-B"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	1793	"FUNCTION: Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity). {ECO:0000250}.; FUNCTION: The aspartyl protease (PR) mediates the proteolytic cleavages of the Gag and Gag-Pol polyproteins after assembly of the VLP. {ECO:0000250}.; FUNCTION: Reverse transcriptase/ribonuclease H (RT) is a multifunctional enzyme that catalyzes the conversion of the retro-elements RNA genome into dsDNA within the VLP. The enzyme displays a DNA polymerase activity that can copy either DNA or RNA templates, and a ribonuclease H (RNase H) activity that cleaves the RNA strand of RNA-DNA heteroduplexes during plus-strand synthesis and hydrolyzes RNA primers. The conversion leads to a linear dsDNA copy of the retrotransposon that includes long terminal repeats (LTRs) at both ends (By similarity). {ECO:0000250}.; FUNCTION: Integrase (IN) targets the VLP to the nucleus, where a subparticle preintegration complex (PIC) containing at least integrase and the newly synthesized dsDNA copy of the retrotransposon must transit the nuclear membrane. Once in the nucleus, integrase performs the integration of the dsDNA into the host genome (By similarity). {ECO:0000250}."
"O13547"	"CCW14_YEAST"	"reviewed"	"Covalently-linked cell wall protein 14 (Inner cell wall protein)"	"CCW14 ICWP SSR1 YLR390W-A YLR391W-A"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	238	"FUNCTION: Component of the inner layer of the cell wall."
"O13563"	"RPN13_YEAST"	"reviewed"	"26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)"	"RPN13 DAQ1 YLR421C"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	156	"FUNCTION: Component of the 19S cap proteasome complex which acts as a regulatory subunit of the 26S proteasome, involved in the ATP-dependent degradation of ubiquitinated proteins. {ECO:0000269|PubMed:11029046, ECO:0000269|PubMed:7957966}."
"O14467"	"MBF1_YEAST"	"reviewed"	"Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)"	"MBF1 SUF13 YOR298C-A"	"Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)"	151	NA
